"LLAVE_BUSQUEDA"¬"TWEET"¬"USUARIO"¬"FECHA"¬"LUGAR"¬"COORDENADAS"¬"GEO"
"URIBE"¬"@luis_aseg @DELAESPRIELLAE @lafm @jflafaurie @AndresPastrana_ @AlvaroUribeVel @OIZuluaga @charoguerra¬ https://t.co/jXDYQKKCQ2"¬"luciac24"¬12/06/19 02:44:45,756149000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@AlvaroUribeVel Es cierto presidente Uribe la envidia  y el odio los tiene enfermos. Total respaldo Dr Uribe siga a¬ https://t.co/AmKA2HJXr6"¬"2000tata2014"¬12/06/19 02:46:54,469699000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Populismo barato enga abobos"¬"Democrata_1"¬12/06/19 03:25:27,734895000 PM¬""¬""¬""
"URIBE"¬"Adriana debe doler mucho no tener a un l der como el dr Uribe y ellos"¬"omantoni1"¬12/06/19 03:28:08,120928000 PM¬""¬""¬""
"URIBE"¬"@AlvaroUribeVel Usted si es c¬nico...."¬"MPSDISCAPACIDAD"¬12/06/19 02:46:57,985460000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@adrescala @juanrobot4 @NataDLEspriella @AlvaroUribeVel Esa gente tiene el c"¬"SaVanesCa"¬12/06/19 02:47:10,346423000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@Dianasc47344743 @reinolopez @AlvaroUribeVel @POTUS @FBI @DEAHQ @USEmbassyBogota @USMarshalsHQ @CIA @IRSnews Toca e¬ https://t.co/JHf3dnkNzZ"¬"jairoamejia1"¬12/06/19 02:47:12,929687000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@NoticiasCaracol https://t.co/3MfAesMjn0"¬"yumbila"¬12/06/19 02:47:13,717736000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@AlvaroUribeVel Osea que van a ""solucionar""  (a medias) los descalabros de la ley 100 que usted promovi¬?"¬"alexantropologo"¬12/06/19 02:44:51,868612000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Asisten y todo sus secuasez de y ahora se escandalizan por otro delincuente m s"¬"mariodanielgc"¬12/06/19 03:25:36,308271000 PM¬""¬""¬""
"URIBE"¬"A Ud le faltan muchas G evas para ultrajar o acusar a Gran Colombiano a Ud no le toc"¬"de_bonnett"¬12/06/19 03:28:12,675566000 PM¬"Ciudad Bol¬var"¬"[[[-76.162036, 5.745914], [-76.162036, 5.9353], [-75.924448, 5.9353], [-75.924448, 5.745914]]]"¬"Polygon"
"URIBE"¬"Boca Juniors en serio Uribe busca Europa no sudamerica"¬"manu_axjared"¬12/06/19 03:28:24,846428000 PM¬""¬""¬""
"URIBE"¬"Y Uribe para cuando Recuerde que su padre lo denunci cuando fue Director de la Aerocivil por otorgarle"¬"LazmarMartinez"¬12/06/19 03:28:25,804803000 PM¬""¬""¬""
"URIBE"¬"JAJAJAJAJAJJAJA"¬"Vivi_Jar"¬12/06/19 03:28:26,641012000 PM¬""¬""¬""
"URIBE"¬"@CLAUDIABAHAMON @IvanDuque @mafsul @MinMinas Lo que diga uribe No tiene desicion ni manejo del gobierno ya un a¬o y el pais estancado"¬"Juank75720863"¬12/06/19 02:47:15,359694000 PM¬"None"¬"None"¬"None"
"URIBE"¬"FARC URIBE Y SUS SECUACES QUE RENUNCIEN Y SE ACAB EL PROBLEMA"¬"MarrugoRevu"¬12/06/19 03:26:40,449838000 PM¬""¬""¬""
"URIBE"¬"@AlvaroUribeVel Seria optimo tener una pagina oficial donde los due¬os de los recursos p¬blicos  o sea colombia con¬ https://t.co/ZQfwIl40h7"¬"kratosRosacruz"¬12/06/19 02:45:15,941200000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@Gerosod @WRadioColombia Gracias por tu experiencia familiar! Porque en lam¬a  consume y no se roba y no se que tan¬ https://t.co/9JlhVTVFBj"¬"DANYELMONTES2"¬12/06/19 02:45:18,021993000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@juliocegarciav @AlvaroUribeVel @RioCas Seg¬n esto entonces el licor es lo mejor para la salud por que tambien gene¬ https://t.co/FutiHxJ9PY"¬"luis13laura28"¬12/06/19 01:32:02,820910000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@SanMar0714 @MONAURIBISTA @bettycriticona @argiro1961 @AndreaRamirezA_ @Dianatatism @CaRendi74 @WIMABOK¬ https://t.co/6HwASMmsdM"¬"patriciam265"¬12/06/19 03:19:22,750713000 PM¬""¬""¬""
"URIBE"¬"@bonsay65 @NataDLEspriella @AlvaroUribeVel Abrazo"¬"adrescala"¬12/06/19 03:19:23,336931000 PM¬""¬""¬""
"URIBE"¬"Disculpe Don Corleone"¬"erioji"¬12/06/19 03:19:23,968026000 PM¬""¬""¬""
"URIBE"¬"@Rep_Cristancho @CamaraColombia @CeDemocratico @BluRadioCo @AlvaroUribeVel @NoticiasCaracol JAJAJAJAJA ME DIVIERTE¬ https://t.co/yFUsoT8Hri"¬"yamiley01161967"¬12/06/19 03:19:24,587584000 PM¬""¬""¬""
"URIBE"¬"Es lo ¬nico q saben hacer ustedes cuerda d delincuentes alg¬n llegar¬ un gobierno como ¬l d Uribe q les ponga un ha¬ https://t.co/hNys3pkFZq"¬"ADBAPTISTA54"¬12/06/19 03:19:29,399380000 PM¬""¬""¬""
"URIBE"¬"No y recuerdo est m xima de Uribe en el 2006 Les voy a pedir a todos los congresistas que mientras n"¬"Juan50022937"¬12/06/19 03:26:41,639353000 PM¬""¬""¬""
"URIBE"¬"Gente de bien o de bienes paramilitares"¬"sierrajhon2001"¬12/06/19 03:26:41,970822000 PM¬""¬""¬""
"URIBE"¬"You are listening to N 9 COMO SI NADA PAOLA JARA amp JESSI URIBE"¬"boomfmmadrid"¬12/06/19 03:26:47,656995000 PM¬""¬""¬""
"URIBE"¬"SI LA IZQUIERDISTA CSJ no investiga a"¬"OSWALDOZQUI"¬12/06/19 03:26:55,377996000 PM¬""¬""¬""
"URIBE"¬"@NoticiasRCN Cu¬ndo sera que ese sinverg¬enza procurador presiona el llamado a indagatoria del criminal Uribe por parte de la CSJ.????"¬"jotarodguer"¬12/06/19 02:45:31,984350000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@AlvaroUribeVel ¬Muy asustado o qu¬?"¬"SonSavage4"¬12/06/19 02:45:33,282607000 PM¬"None"¬"None"¬"None"
"URIBE"¬"¬Consulta previa le llaman a una negociaci¬n que debi¬ hacerse hace por lo menos diez a¬os? No sean tan descarados¬ https://t.co/LsxJoprOCl"¬"graffitiborrao"¬12/06/19 02:45:36,496578000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Uribe Doblehijueputa"¬"UribeParacoBot"¬12/06/19 01:32:07,716811000 PM¬"None"¬"None"¬"None"
"URIBE"¬"El ¬nico mafioso, genocida  que no les incomoda en el congreso es alvaro uribe"¬"gataterca"¬12/06/19 01:37:32,071826000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@TomEspinosaP @roimos @NoticiasCaracol @petrogustavo Que me dice de Petro y su paso por la alcald¬a acompa¬ado del¬ https://t.co/eA4BllizuZ"¬"kokolloko1"¬12/06/19 03:19:48,136384000 PM¬""¬""¬""
"URIBE"¬"@pedrosalazar420 @AlvaroUribeVel @acemi_gremio @Supersalud @MinSaludCol @CIDH @OPSOMS_Col @odpdh @Pacientesco¬ https://t.co/rm12oKc6rB"¬"DIDASKALOSW"¬12/06/19 03:19:48,227560000 PM¬""¬""¬""
"URIBE"¬"@AlvaroUribeVel Alvarito esto no me est¬ gustando. Este gobierno lo noto devilucho. Hummmm mira lo que hizo la JEP."¬"OscarB75"¬12/06/19 03:19:51,340913000 PM¬""¬""¬""
"URIBE"¬"Qu tristeza que la Justicia solo sea para los de cuello blanco y los trabajadores que fueron liqui"¬"WilliamRuizHoy1"¬12/06/19 03:27:01,089533000 PM¬""¬""¬""
"URIBE"¬"Seg n los escritos de Antonio Escohotado autor de varios tratados sobre las drogas y su uso se expresa"¬"Yo_Daniel_Lobo"¬12/06/19 03:27:03,187675000 PM¬""¬""¬""
"URIBE"¬"La vicepresidenta @mluciaramirez lo cita y escribe ""dolor de patria"". El senador @AlvaroUribeVel le da RT ¬ Creo qu¬ https://t.co/EmG6R2FC0f"¬"victorballestas"¬12/06/19 01:55:44,892369000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@VickyDavilaW Mi voto ser¬ por Miguel Uribe. Nunca dar¬ mi voto a nadie de la izquierda"¬"MaraEle88924442"¬12/06/19 02:45:36,772678000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@adrescala @mdpgomez @AlvaroUribeVel C¬tame el docmento donde  E.E.U.U haya desmentido el informe del asociado 82. Gracias."¬"NataDLEspriella"¬12/06/19 02:45:38,775974000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@JenniferAriasF @AlvaroUribeVel @CeDemocratico @NubiaSMartinez @NoticiasCaracol @dondeestalanoti @NoticiasRCN Total¬ https://t.co/D9UxnppzlB"¬"Politic41861886"¬12/06/19 02:46:02,265609000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@sebastianninov Y donde me dejan a @AlvaroUribeVel"¬"NomasUribestia"¬12/06/19 01:52:22,766523000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@AlvaroUribeVel @eutoma Se¬or Uribe excelente patriota usted me puede explicar porqu¬ ¬l empleo informal est¬ por ¬ https://t.co/klSC6nSsXT"¬"kenedy_lyon"¬12/06/19 01:52:33,725100000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@sergeimolomolot @Daniel52866469 @alexaAnsley @pgredondo @aduque0118 @AlvaroUribeVel N¬mbreme los logros, d¬jenos e¬ https://t.co/oPsU84Ukb7"¬"SergioGuillin2"¬12/06/19 01:52:38,150002000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@AlvaroUribeVel Este viejo como jode, a lo bien es q ya da es fastidio. Voy a citar al sabio rey de Espa¬a, POR Q NO TE CALLAS..."¬"CaifanAdrian"¬12/06/19 03:19:58,374601000 PM¬""¬""¬""
"URIBE"¬"La cabal adem s de facha compite en brutalidad con Duque Todo por CULPA de Uribe"¬"HerranOrlando"¬12/06/19 03:27:20,253941000 PM¬""¬""¬""
"URIBE"¬"Antes usted lo mandaba a desaparecer"¬"CarlosA59124726"¬12/06/19 03:27:24,945299000 PM¬""¬""¬""
"URIBE"¬"?"¬"gpedrohc"¬12/06/19 02:20:06,715196000 PM¬"None"¬"None"¬"None"
"URIBE"¬"La letrina de petrina !!!Donde se cubren sus mas sucias fantasias ...Hoy en la conciliacion ...  se viene unas do¬ https://t.co/miE7TaBi5b"¬"poncho03498192"¬12/06/19 02:20:08,800289000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@DELAESPRIELLAE @AlvaroUribeVel @GustavoBolivar !!!! Adelante @DELAESPRIELLAE con ese proceso, el Narcoescritor GUSTAVO BOL¬VAR debe pagar"¬"OSCARSI2911"¬12/06/19 02:20:15,509557000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@WRadioColombia @VickyDavilaH No simpatizo con Pablo Escobar Gaviria amigo de ¬lvaro Uribe pero mat¬ muchos. Polic¬as corruptos"¬"wendymedinape"¬12/06/19 01:52:37,065111000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@gusgomez1701 @DCoronell @RevistaSemana Contra Uribe?"¬"Humbertogonk"¬12/06/19 01:52:41,059348000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@MirandaBogota Y las pruebas ?Las que dice qui¬n El Corrupto ex fiscal El Los gringos , con agentes de la DEA¬ https://t.co/KSvb8r5G45"¬"Mauro_mendoza_"¬12/06/19 03:20:02,049810000 PM¬""¬""¬""
"URIBE"¬"@AlvaroUribeVel jeje estas asustado hdp"¬"JoseRevueltas94"¬12/06/19 03:20:09,137418000 PM¬""¬""¬""
"URIBE"¬"Y en abonos chiquitos como Elektra"¬"gerard162425"¬12/06/19 03:20:18,398407000 PM¬""¬""¬""
"URIBE"¬"Es lo mismo"¬"eustaclio"¬12/06/19 03:27:39,720273000 PM¬""¬""¬""
"URIBE"¬"Respete al doctor uribe mamerto hpta"¬"tresesnacky"¬12/06/19 03:27:51,546952000 PM¬""¬""¬""
"URIBE"¬"@alfreparedes @JEP_Colombia ¬Cuando se va Uribe?"¬"rdevansm"¬12/06/19 02:29:25,961318000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@GustavoBolivar Este man publica hasta cuando le hacen el examen de la prostata parece una vieja chismosa a quien l¬ https://t.co/eEu8cAp5zB"¬"David90567598"¬12/06/19 02:29:27,861088000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@Dianasc47344743 @reinolopez @AlvaroUribeVel @POTUS @FBI @DEAHQ @USEmbassyBogota @USMarshalsHQ @CIA @IRSnews Me ima¬ https://t.co/Uo8LFaHxdn"¬"jairoamejia1"¬12/06/19 02:29:42,100877000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Veremos"¬"linulera"¬12/06/19 03:25:40,941348000 PM¬""¬""¬""
"URIBE"¬"EJERCITO se equivoca se or al decir hoy que"¬"ElkinLondoo9"¬12/06/19 03:25:41,025227000 PM¬""¬""¬""
"URIBE"¬"Jajajajajaja soy tan a diario"¬"Mr_Garciap"¬12/06/19 03:25:42,116979000 PM¬""¬""¬""
"URIBE"¬"En serio"¬"xioux_cebal"¬12/06/19 03:28:35,172486000 PM¬""¬""¬""
"URIBE"¬"Y hay gente que se come ese cuento"¬"JcoA89"¬12/06/19 03:28:37,541988000 PM¬"Brookings"¬"[[[-96.824461, 44.253728], [-96.824461, 44.33], [-96.744992, 44.33], [-96.744992, 44.253728]]]"¬"Polygon"
"URIBE"¬"TAS CAGAO DEL SUSTOOO JAJAJJJ"¬"juanpablorozo23"¬12/06/19 03:28:44,187137000 PM¬""¬""¬""
"URIBE"¬"senador El narcoterrorista alias Jes s Santrich pued"¬"jorgefanidco"¬12/06/19 03:27:54,200883000 PM¬""¬""¬""
"URIBE"¬"@DCoronell @RevistaSemana Pero deje de so¬ar con uribe"¬"AlbertoZapata91"¬12/06/19 02:29:41,098434000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Oiga hijueputa @AlvaroUribeVel ayude a este se¬or de bien que est¬ preso porque cometi¬ un error."¬"Andru_SS"¬12/06/19 02:29:53,422383000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Uy!"¬"anyPandL"¬12/06/19 02:29:59,351065000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@maglyysupoder @GustavoBolivar Agradece que hoy tengo ganas de contestar mal,  como te mereces. A ver ""inteligente""¬ https://t.co/ptLXpJxtij"¬"Stellacsg"¬12/06/19 02:30:02,554220000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Tiene ud toda la raz n porque el otro ya se hab a posesionado el pasado 20 de julio"¬"JhonJfcardona"¬12/06/19 03:25:50,546954000 PM¬""¬""¬""
"URIBE"¬"Uribe es un narcopol tico el otro es un narcosarrapastroso"¬"wyaguilera"¬12/06/19 03:25:50,760146000 PM¬"El Cerrito"¬"[[[-76.527002, 3.595251], [-76.527002, 3.761861], [-76.094995, 3.761861], [-76.094995, 3.595251]]]"¬"Polygon"
"URIBE"¬"Las Cortes son putrefactos al servicio del terrorismo"¬"ArchilaCarlis"¬12/06/19 03:28:56,365543000 PM¬""¬""¬""
"URIBE"¬"La AUSTERIDAD que pregona el Centro Democr tico es la causa del incremento del desempleo Uribe cree"¬"Alher16757691"¬12/06/19 03:28:56,699579000 PM¬""¬""¬""
"URIBE"¬"@NoticiasRCN Epa padre de familia no gaste plata en colegio y universidad, c¬mprele a su hijo un Ak-47 y leale la h¬ https://t.co/zNflKk18oJ"¬"ED_VALTALO"¬12/06/19 02:09:54,361904000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Hay que huir  de Colombia lo antes posible ser¬ la cuna del terrorismo,ya el gobierno de @IvanDuque @AlvaroUribeVel¬ https://t.co/ulH8F81ePK"¬"lider121201"¬12/06/19 02:09:56,907803000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@Comunicatrina @adrescala @NataDLEspriella @AlvaroUribeVel @LuchoJacobsen ya deje de joder con esa cuentucha alterna de su lado femenino."¬"DonDieGoth"¬12/06/19 02:30:04,907005000 PM¬"None"¬"None"¬"None"
"URIBE"¬"¬PrinCiencias: la ciencia es cosa de chicas¬ es una propuesta que busca que las alumnas de este colegio de la loca¬ https://t.co/oaSeIYthxv"¬"Bogota"¬12/06/19 02:30:05,727944000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@amunetong @Cony_martinez_ @martindpenaloza @MariaFdaCabal Venga y para que nombra los cr¬menes sin mencionar a Uri¬ https://t.co/xvJNypiOzc"¬"JOSEAQUILINOMON"¬12/06/19 02:30:06,113807000 PM¬"None"¬"None"¬"None"
