"LLAVE_BUSQUEDA"¬"TWEET"¬"USUARIO"¬"FECHA"¬"LUGAR"¬"COORDENADAS"¬"GEO"
"PETRO"¬"Veo las fotos de la Petro y la verdad no se como les da para salir de shortcito y topcito , asi sin medias ni nada"¬"__Weeen"¬13/06/19 10:51:21,247523000 AM¬""¬""¬""
"PETRO"¬"@Sinmermelada2 Primero le achacaron esta actriz porno a Petro. Despues a Santos y  ahora le hicieron el montaje a P.. https://t.co/LNfv5HBJE3"¬"JLAlvarezMD"¬13/06/19 10:37:12,361388000 AM¬""¬""¬""
"PETRO"¬"@GustavoBolivar Sabe si Simon Velez ya denuncio a Gustavo Petro por calumnia.Al parecer es recurrente ese metodo c.. https://t.co/bH05Do6Wn5"¬"gboarq"¬13/06/19 10:37:12,668673000 AM¬""¬""¬""
"PETRO"¬"@charry_manager @angelamrobledo @petrogustavo Y no es para cuidar fincas, casas , empresas,bancos,,solo la soberani.. https://t.co/gdD0hifqxU"¬"luisecalderon20"¬13/06/19 10:41:41,910911000 AM¬""¬""¬""
"PETRO"¬"Comprende el miedo a Petro de los verdes."¬"Aemon3428"¬13/06/19 10:41:43,790531000 AM¬""¬""¬""
"PETRO"¬"@rrincon1963 @DiegoVallebuona @IvanCepedaCast Los bandidos se tapan entre ellos! No ha dicho ni dira nada! Igual c.. https://t.co/KXGHIozIyJ"¬"pepita1122"¬13/06/19 10:45:39,824150000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Yo no se por que toca agradecerles por hacer su trabajo.. Para eso estaban de alcaldes, ?no?.. Deje.. https://t.co/Gwq75YjMi9"¬"pipetrunks"¬13/06/19 10:45:46,918873000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Usted Sr @petrogustavo no se ha manifestado sobre el video del militar retenido por las disidencias d.. https://t.co/Ftq2JDzt8l"¬"Edward32377126"¬13/06/19 10:51:26,285455000 AM¬""¬""¬""
"PETRO"¬"@WRadioColombia Otra propuesta de Petro"¬"Esteban55603333"¬13/06/19 10:51:54,837046000 AM¬""¬""¬""
"PETRO"¬"@patoBarros69 @merv59 Es lo mismo que vi en 2010 cuando Antanas se presentaba a la presidencia al lado de Lucho y P.. https://t.co/QnSKiuTDIO"¬"jaljimenezn"¬13/06/19 10:37:21,387160000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo El sobrino aprendio manas"¬"JuliofredySilva"¬13/06/19 10:37:34,983287000 AM¬""¬""¬""
"PETRO"¬"@criticolombia Y todavia niegan q es una justicia hecha para sacar impunes a las farc? El q siga negando eso es un.. https://t.co/UW5f9hZZfB"¬"FredyTosana"¬13/06/19 10:41:44,695909000 AM¬""¬""¬""
"PETRO"¬"Me estoy burlando de mi mismo equipo y saco a relucir (como siempre) que mi tierra no vota por ese paraco y vienen.. https://t.co/Bj1jzWXnls"¬"Natrioshka"¬13/06/19 10:41:45,308791000 AM¬""¬""¬""
"PETRO"¬"@jcuestanovoa @GNavasTalero @petrogustavo @amoralesan @periodista19 @andrewholes @mcarvajal28 @ColombiaHumana_.. https://t.co/RlVK2c9Dzr"¬"JoseEMaciasC"¬13/06/19 11:08:04,997459000 AM¬""¬""¬""
"PETRO"¬"@fjnovoa28 @petrogustavo Seria un thriller tenebroso."¬"richizuluaga"¬13/06/19 10:46:08,077489000 AM¬""¬""¬""
"PETRO"¬"@Epadillabarros @petrogustavo El qe verdaderamente pierde el tiempo es usted deveria pensar un poco mas antes de escribir esos mensajes"¬"Neber06251448"¬13/06/19 10:46:09,296538000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo pagamos millones de pesos a cretinos como usted para que haga cosas por el pais y lo que hace es cree.. https://t.co/5NDqs5H5ce"¬"DavidRosasco"¬13/06/19 10:51:58,616567000 AM¬""¬""¬""
"PETRO"¬"@Diegocardenal No dijo absolutamente nada. Basicamente dijo que es mas peligrosa porque mas gente la consume. Eso n.. https://t.co/Z1pS306gB6"¬"El__Arracadas"¬13/06/19 10:52:15,245353000 AM¬""¬""¬""
"PETRO"¬"@julian_alarcon_ @tomascorredorp @DaniAlejandroM @EnriquePenalosa @petrogustavo Se opuso tanto que ya lo van a inaugurar? como asi?"¬"Felipe_M1991"¬13/06/19 10:37:50,827614000 AM¬""¬""¬""
"PETRO"¬"@Aladiestra1 @petrogustavo Los del m-19 pasaban como heroes del pueblo no eran otra cosa que una sarta de criminale.. https://t.co/7reBIbanUb"¬"eltigerage"¬13/06/19 10:37:55,453194000 AM¬""¬""¬""
"PETRO"¬"Es unicamente y exclusivamente de caballeros lo que usted hace senor PENALOZA, la actitud de petro es la tipica de.. https://t.co/lNGEKBe3Zo"¬"elmuycaballero"¬13/06/19 11:06:39,699464000 AM¬""¬""¬""
"PETRO"¬"@AndySant6 @petrogustavo Ahh se me olvidaba desearle@un buen dia en su fumatonser superior jajajaj"¬"QLine_Lab"¬13/06/19 10:41:52,463083000 AM¬""¬""¬""
"PETRO"¬"@johon_gutierrez Lo mas chistoso es que se quejan del autoritarismo de Petro y la falta de respeto en la forma de c.. https://t.co/MpBBJkzflC"¬"xdiegoramirezx"¬13/06/19 10:41:58,760856000 AM¬"Barranquilla"¬"[[[-74.925765, 10.869528], [-74.925765, 11.046618], [-74.774101, 11.046618], [-74.774101, 10.869528]]]"¬"Polygon"
"PETRO"¬"La cocaina <<mas inofensiva>> que el azucar, el tuitazo de Gustavo Petro  `*  https://t.co/Nw4tO1qiS0"¬"CaraotaDigital"¬13/06/19 10:46:35,597470000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Cuando Gobiernan la gente con principios."¬"ADOLFOJOSERUIZM"¬13/06/19 10:46:43,588147000 AM¬""¬""¬""
"PETRO"¬"@elespectador @petrogustavo Realmente la opinion de alguien q hizo y hace tanto dano a la nacion en todo el sentido.. https://t.co/sI5iw9nOxG"¬"osfer230"¬13/06/19 10:52:24,034253000 AM¬""¬""¬""
"PETRO"¬"@BluRadioCo Si puede haber tanto imbecil en Colombia que siga a Petro que se reporten"¬"comodisimo1"¬13/06/19 10:52:42,397615000 AM¬""¬""¬""
"PETRO"¬"@LidioDominante Ni Petro los odia tanto."¬"JoseGregorio"¬13/06/19 10:37:58,827499000 AM¬""¬""¬""
"PETRO"¬"@sumariumcom @RafaelDGuzmanR https://t.co/nM8BvdyHDc  EL  UNICO  PETRO  QUE  YO  CONOZCO"¬"ANTONIORikana01"¬13/06/19 10:38:13,731039000 AM¬""¬""¬""
"PETRO"¬"@OrtegaSterling Pasando por encima de su gente, mis amigos de su movimiento estan molestos con el sr Petro pues la.. https://t.co/djBrlRj7Li"¬"camilotorresri1"¬13/06/19 10:42:01,470918000 AM¬""¬""¬""
"PETRO"¬"@elquelosdelata @DianaLombana @petrogustavo No es asi .. si ya la gente coherente no lee la revista entonces sin.. https://t.co/x6AJaYf5kO"¬"eltigerage"¬13/06/19 10:42:31,823912000 AM¬""¬""¬""
"PETRO"¬"@luisfelipinho69 @johanna2980 @msilvaazul @alexandervargas Como el hijo del narco paraco roscon y ladron igual que.. https://t.co/FQ2YTFABs2"¬"Belgrano744"¬13/06/19 10:47:16,065941000 AM¬""¬""¬""
"PETRO"¬"@GustavoBolivar No se necesita ser uribista para repudiar a santrich, es un narcotraficante, de los que usted escri.. https://t.co/AW6SyAxhca"¬"ysedijo1"¬13/06/19 10:52:51,695995000 AM¬""¬""¬""
"PETRO"¬"ALERTA de @FlondonoHoyos: Foro de Sao Paulo (comunismo del SXXI) mantiene vigentes sus 2 objetivos contra #Colombia.. https://t.co/2oJP7Ct1IC"¬"ferossa777"¬13/06/19 10:53:05,795060000 AM¬""¬""¬""
"PETRO"¬"@Nanfild @petrogustavo @cataortizcamara Ambos productos son malos, danan la salud mental publica, implica practicas.. https://t.co/xCiQ91AtW0"¬"AntonioMourinP"¬13/06/19 10:38:43,940239000 AM¬""¬""¬""
"PETRO"¬"@Cereal_McCrunch @AndersonGutirr6 @marco_caldono @MariaFdaCabal @petrogustavo Gracias Sanpetrosky y sus Secuaces Amigos!."¬"JUANESPITIASOT1"¬13/06/19 10:38:51,408499000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Eso debe ser que les dan mucha azucar en el entrenamiento"¬"Maurocasasrojo"¬13/06/19 10:42:48,163446000 AM¬""¬""¬""
"PETRO"¬"@jaljimenezn @merv59 @IvanCepedaCast @petrogustavo Cierto"¬"patoBarros69"¬13/06/19 10:42:48,206227000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Y algunos tambien fueron legalizados,por las fuerzas,dentro de las fuerzas hay acoso entre los de alt.. https://t.co/1dDyUvujko"¬"EstherYepez5"¬13/06/19 10:47:28,100393000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Y no que conSejo see escribe con S??"¬"neysu200"¬13/06/19 10:47:39,113648000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Excelente, mi petro, porque debe ser un trato muy cruel para que las personas se suiciden, mi petro,.. https://t.co/DDt2i47nW1"¬"elsa_sand"¬13/06/19 10:53:06,646503000 AM¬""¬""¬""
"PETRO"¬"@charry_manager @petrogustavo Y MENOS EL PAIS ES DE LA IZQUIERDA,NO QUIERA IMPONER LO QUE NO QUEREMOS;RESPETE A LOS.. https://t.co/QqOhxdGI25"¬"lumivego"¬13/06/19 10:53:22,255138000 AM¬""¬""¬""
"PETRO"¬"Menos mal el drogadicto de Petro no tiene el poder de parar el cartel de la panela."¬"jduribeossa"¬13/06/19 11:09:25,584886000 AM¬""¬""¬""
"PETRO"¬"Sabian que @petrogustavo es tan pero tan distinto de Uribe, en cambio Uribe y #Santrich se parecen en muchas cosas.. https://t.co/o78m5eLinD"¬"jairogarciacol"¬13/06/19 10:38:54,516555000 AM¬""¬""¬""
"PETRO"¬"@DeinerSergio @escorpionlupin @elespectador @petrogustavo AjajajajaDemasiadas coincidencias, como los ""suicidios con cianuro""."¬"MarlonAgteMfc"¬13/06/19 10:38:57,017234000 AM¬""¬""¬""
"PETRO"¬"Jajajajajaja nunca me cansare de los memes de Duque y Petro, y ahora menos con lo del azucar. https://t.co/rKlBgECc7p"¬"JennyPerez69"¬13/06/19 10:42:48,748926000 AM¬""¬""¬""
"PETRO"¬"#AlcaldiadeBocono informa que los impuestos de expendio de bebidas alcoholicas, las tarifas renovaciones anuales lo.. https://t.co/Hr8npjayDu"¬"Mariam20896781"¬13/06/19 10:47:41,029630000 AM¬""¬""¬""
"PETRO"¬"@LuisAng47851544 @petrogustavo Un parte fue financiada por bgta humana con diseno y contratacion y otra parte fue f.. https://t.co/o6vmUSLfxq"¬"alejandrobenfer"¬13/06/19 10:47:47,079077000 AM¬""¬""¬""
"PETRO"¬"DE LA MISMA FORMA; LOS MAFIOSOS EN EL PODER, SIEMPRE HAN QUERIDO DARLE MUERTE POLITICA A GUSTAVO PETRO. NO LO LOGRA.. https://t.co/Rrj91G3hge"¬"fanorfc"¬13/06/19 10:35:39,698147000 AM¬""¬""¬""
